"","roadtype","onewaysummary","junction","sidewalk","leftside","lanes.psv.forward","lanes.forward","lanes.backward","lanes.psv.backward","rightside","count"
"308143170","unclassified Road - Cycling Allowed","Two Way","no","no","None",1,1,1,0,"None",2
"308478950","primary Road - Cycling Allowed","Two Way","no","left","Lane",0,1,1,1,"Lane",1
"311635143","residential Road - Cycling Allowed","Two Way","no","both","None",1,1,1,0,"None",1
"326839640","unclassified Road - Cycling Allowed","One Way","no","left","None",0,1,0,1,"None",1
"328259863","service Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",9
"360069901","secondary Road - Cycling Allowed","One Way","no","right","None",0,1,0,0,"None",2
"360428521","secondary Road - Cycling Allowed","One Way","no","both","None",1,1,0,0,"None",1
"361213646","trunk Road - Cycling Allowed","One Way","no","no","share_busway",1,1,0,0,"None",1
"367067494","Segregated Cycleway","Two Way","no","Not Applicable","Not Applicable",0,1,1,0,"Not Applicable",1
"382893358","primary Road - Cycling Allowed","Two Way","no","both","Lane",0,2,1,0,"None",2
"424507194","service Road - Cycling Allowed","Two Way","no","left","None",0,1,1,0,"None",4
"426405243","primary Road - Cycling Allowed","One Way","no","no","None",0,3,0,0,"None",1
"431568740","residential Road - Cycling Allowed","One Way","no","left","None",0,1,0,0,"Lane",1
"431578441","primary_link Road - Cycling Allowed","One Way","no","left","None",0,2,0,0,"None",1
"436023602","trunk Road - Cycling Allowed","One Way","no","no","None",0,2,0,0,"None",2
"437744158","tertiary_link Road - Cycling Allowed","Two Way","no","both","None",0,1,1,0,"None",1
"439241536","trunk Road - Cycling Allowed","One Way","no","both","None",1,2,0,0,"None",2
"457086549","Path - Cycling Forbidden","Two Way","no","both","Not Applicable",0,0,0,0,"None",9
"457660153","service Road - Cycling Allowed","One Way","no","separate","None",0,0,0,0,"None",1
"458389643","trunk Road - Cycling Allowed","One Way","no","both","None",1,1,0,0,"None",1
"458390142","trunk Road - Cycling Allowed","Two Way","no","both","share_busway",1,2,2,0,"share_busway",1
"458390143","trunk Road - Cycling Allowed","One Way","no","both","share_busway",1,2,0,0,"share_busway",1
"479811779","trunk Road - Cycling Allowed","Two Way","no","both","None",0,2,1,0,"None",1
"487390190","service Road - Cycling Allowed","One Way - Two Way Cycling","no","no","None",0,0,0,0,"Lane",1
