,roadtype,onewaysummary,junction,sidewalk,leftside,lanes.psv.forward,lanes.forward,lanes.backward,lanes.psv.backward,rightside,count
4081683,Cycleway,One Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,42
3444527,Cycleway,Two Way,no,Not Applicable,Not Applicable,0,0,0,0,Not Applicable,705
4338356,Living Street,One Way,no,both,None,0,1,0,0,Lane,1
4313466,Living Street,Two Way,no,both,None,0,1,1,0,None,43
3509728,Main Road - Cycling Allowed,One Way,no,both,Lane,0,1,0,0,Lane,15
3730254,Main Road - Cycling Allowed,One Way,no,both,Lane,0,1,0,0,None,12
4316811,Main Road - Cycling Allowed,One Way,no,no,Lane,0,1,0,0,None,1
193371060,Main Road - Cycling Allowed,One Way,no,left,Lane,0,1,0,0,None,1
3511571,Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,Lane,5
3416737,Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,0,None,633
3418635,Main Road - Cycling Allowed,One Way,roundabout,left,None,0,1,0,0,None,138
3449995,Main Road - Cycling Allowed,One Way,no,separate,None,0,1,0,0,None,8
3512363,Main Road - Cycling Allowed,One Way,no,left,None,0,1,0,0,None,90
3787742,Main Road - Cycling Allowed,One Way,no,no,None,0,1,0,0,None,22
4273591,Main Road - Cycling Allowed,One Way,roundabout,no,None,0,1,0,0,None,1
31714669,Main Road - Cycling Allowed,One Way,no,right,None,0,1,0,0,None,6
31239132,Main Road - Cycling Allowed,One Way,no,both,None,0,1,0,1,None,2
95588254,Main Road - Cycling Allowed,One Way,no,both,None,1,1,0,0,Lane,1
5856820,Main Road - Cycling Allowed,One Way,no,separate,None,1,1,0,0,None,2
107296526,Main Road - Cycling Allowed,One Way,no,both,None,1,1,0,0,None,6
177212283,Main Road - Cycling Allowed,One Way,no,left,None,1,1,0,0,None,1
3894322,Main Road - Cycling Allowed,One Way,no,both,share_busway,1,1,0,0,None,4
203794617,Main Road - Cycling Allowed,One Way,no,both,share_busway,1,1,0,0,share_busway,2
3871959,Main Road - Cycling Allowed,One Way,no,both,Lane,0,2,0,0,Lane,1
193358601,Main Road - Cycling Allowed,One Way,no,right,Lane,0,2,0,0,None,1
