"value","count","fraction","in_wiki","description","correct"
"repair;dealer",2,0,FALSE,"",
"unpaved",2,0,FALSE,"",
"destination",2,0,FALSE,"",
"Bus_Station",2,0,FALSE,"",
"Works_access_(private)",2,0,FALSE,"",
"airside",2,0,FALSE,"",
"Royal Oak Gardens",2,0,FALSE,"",
"service",2,0,FALSE,"",
"OS_OpenData_StreetView",2,0,FALSE,"",
"demonstration",2,0,FALSE,"",
"Road",2,0,FALSE,"",
"GP",2,0,FALSE,"",
"laundrette",2,0,FALSE,"",
"driveway to cricket pitch",2,0,FALSE,"",
"car_park_access",2,0,FALSE,"",
"work_access",2,0,FALSE,"",
"industrial",2,0,FALSE,"",
"bing",2,0,FALSE,"",
"Private_Access",2,0,FALSE,"",
"taxi",2,0,FALSE,"",
"\",1,0,FALSE,"",
"tyres,exhausts,MOT,testing",1,0,FALSE,"",
"Guidmans Road",1,0,FALSE,"",
"drive ",1,0,FALSE,"",
"gas",1,0,FALSE,"",
"dealer;repair;tyres;parts",1,0,FALSE,"",
"c",1,0,FALSE,"",
"dog_grooming",1,0,FALSE,"",
"Headley_Court",1,0,FALSE,"",
"aircraft control",1,0,FALSE,"",
"dealer; parts; service; tyres; repair",1,0,FALSE,"",
"deliveries",1,0,FALSE,"",
"t",1,0,FALSE,"",
"Bus_Stop",1,0,FALSE,"",
"courier",1,0,FALSE,"",
"Temporary Recruitment, Permanent Recruitment, On-Site Recruitment",1,0,FALSE,"",
"copy",1,0,FALSE,"",
"Nippet_Lane",1,0,FALSE,"",
"dealer; sales",1,0,FALSE,"",
"dealer;parts;repair;tyres",1,0,FALSE,"",
"slip_way",1,0,FALSE,"",
"Cart Lane",1,0,FALSE,"",
"water_purification",1,0,FALSE,"",
"tanning",1,0,FALSE,"",
"high_speed",1,0,FALSE,"",
"undefined",1,0,FALSE,"",
"Parking_along_the sides",1,0,FALSE,"",
"Bus_Parking",1,0,FALSE,"",
"ferry_ramp",1,0,FALSE,"",
"logging_access",1,0,FALSE,"",
"PRIVATE",1,0,FALSE,"",
"abandoned",1,0,FALSE,"",
"-1",1,0,FALSE,"",
"name",1,0,FALSE,"",
"monastery",1,0,FALSE,"",
"Delivery",1,0,FALSE,"",
"Trefoil Way",1,0,FALSE,"",
"Sales, Mortgages, Accountancy",1,0,FALSE,"",
"shoe_repair;key_cutting",1,0,FALSE,"",
"highway",1,0,FALSE,"",
"dance",1,0,FALSE,"",
"os_opendata_streetview",1,0,FALSE,"",
"parts; repair; parts; electrical",1,0,FALSE,"",
"Back Darwen Road North",1,0,FALSE,"",
"back_street",1,0,FALSE,"",
"driveway;delivery",1,0,FALSE,"",
"BBC Long Wave",1,0,FALSE,"",
"layby; access",1,0,FALSE,"",
"repair;service",1,0,FALSE,"",
"parking_and_service",1,0,FALSE,"",
"cemetery alley",1,0,FALSE,"",
"Access_road",1,0,FALSE,"",
"parts;repair;tyres",1,0,FALSE,"",
"tyres;parts",1,0,FALSE,"",
"dealer;repairs",1,0,FALSE,"",
"DigitalGlobe",1,0,FALSE,"",
"haul_road",1,0,FALSE,"",
"dealer;parts;repair",1,0,FALSE,"",
"Su[1] 11:00-11:45; Su[2,3,4] 09:30-10:15; Mo 17:00-18:00",1,0,FALSE,"",
"shoe_repair; key_cutting",1,0,FALSE,"",
"servicing;MOT",1,0,FALSE,"",
"access_to_telephone_exchange",1,0,FALSE,"",
"dealer;tyres;repair;MOT",1,0,FALSE,"",
"bakery",1,0,FALSE,"",
"paving_stones",1,0,FALSE,"",
"servicing;MOT;repair;tyres;air_conditioning",1,0,FALSE,"",
"carpark",1,0,FALSE,"",
"servicing;repair;MOT;tyres",1,0,FALSE,"",
"OS_OpenData_VectorMap",1,0,FALSE,"",
"parking_lane",1,0,FALSE,"",
"shoe_repair;engraving;key_cutting",1,0,FALSE,"",
"Redland Close",1,0,FALSE,"",
"back-street",1,0,FALSE,"",
"Web Design",1,0,FALSE,"",
"dealer; parts; repair",1,0,FALSE,"",
"Jerry Clay Lane",1,0,FALSE,"",
"bicycle_rental",1,0,FALSE,"",
"turning_circle",1,0,FALSE,"",
"forestery",1,0,FALSE,"",
"14",1,0,FALSE,"",
"pet",1,0,FALSE,"",
"barber",1,0,FALSE,"",
"Eastlake Ope",1,0,FALSE,"",
"Web design",1,0,FALSE,"",
"dealer; tyres; repair",1,0,FALSE,"",
"finishing",1,0,FALSE,"",
"OS OpenData Streetview",1,0,FALSE,"",
"bus_turning_space",1,0,FALSE,"",
"access road",1,0,FALSE,"",
"drivethrough",1,0,FALSE,"",
"key_cutting",1,0,FALSE,"",
"Farm access",1,0,FALSE,"",
"telecom",1,0,FALSE,"",
"bus lane",1,0,FALSE,"",
"shoe_repair",1,0,FALSE,"",
"service_station",1,0,FALSE,"",
"car",1,0,FALSE,"",
"haulage",1,0,FALSE,"",
"farmyard",1,0,FALSE,"",
"monuvering_yard",1,0,FALSE,"",
"Private",1,0,FALSE,"",
"Washing & Vacuum machines,",1,0,FALSE,"",
"drive thru",1,0,FALSE,"",
"tailors",1,0,FALSE,"",
"Private_Road",1,0,FALSE,"",
"Old Chapel Close",1,0,FALSE,"",
"athletics",1,0,FALSE,"",
"Broadshires Way",1,0,FALSE,"",
"repair;parts",1,0,FALSE,"",
"parking_aisle;alley",1,0,FALSE,"",
"monuving_forecourt",1,0,FALSE,"",
"fire_path",1,0,FALSE,"",
"Road to Law school",1,0,FALSE,"",
"Car Park Access",1,0,FALSE,"",
"business park",1,0,FALSE,"",
"dr#",1,0,FALSE,"",
"parking aisle",1,0,FALSE,"",
"taxi_rank",1,0,FALSE,"",
"bridleway",1,0,FALSE,"",
"playground",1,0,FALSE,"",
"Su 0800, 1000",1,0,FALSE,"",
"mineral",1,0,FALSE,"",
"Eastleigh Gardens",1,0,FALSE,"",
"dealer;tyres;parts;repair",1,0,FALSE,"",
"parade",1,0,FALSE,"",
"tattoos",1,0,FALSE,"",
"bus_turning",1,0,FALSE,"",
"ar",1,0,FALSE,"",
"Ely's Yard",1,0,FALSE,"",
"Church drive",1,0,FALSE,"",
"bus-stop",1,0,FALSE,"",
"Private_driveway",1,0,FALSE,"",
"tyres;exhaust;brakes;battery",1,0,FALSE,"",
"Rooftop delivery access",1,0,FALSE,"",
"Weighbridge",1,0,FALSE,"",
"Freeland Village Hall",1,0,FALSE,"",
"tyres;exhaust;brakes",1,0,FALSE,"",
"taxiway",1,0,FALSE,"",
"fuel",1,0,FALSE,"",
"parts,tyres",1,0,FALSE,"",
"police_patrol",1,0,FALSE,"",
"as",1,0,FALSE,"",
"Lawnmower repairs",1,0,FALSE,"",
"swing_bridge",1,0,FALSE,"",
"mot",1,0,FALSE,"",
"deliveries, facilities management",1,0,FALSE,"",
"railway",1,0,FALSE,"",
"ri",1,0,FALSE,"",
"enforcement",1,0,FALSE,"",
"bus_stand",1,0,FALSE,"",
"sale;parts;repair",1,0,FALSE,"",
"watch_repairs",1,0,FALSE,"",
"currency_exchange",1,0,FALSE,"",
"drjveway",1,0,FALSE,"",
"bureau_de_change",1,0,FALSE,"",
"Hardstanding for MRI scanner",1,0,FALSE,"",
"Su[2,5] 11:00; Su[3] 08:00; Su[4] 09:30; We 09:15",1,0,FALSE,"",
"servicing;repair;tyres;air_conditioning",1,0,FALSE,"",
"loading_area",1,0,FALSE,"",
