cp,westminstername,boroughname,wardname,road,road_type,maxyear,cycle_pcu,p2w_pcu,car_pcu,bus_pcu,lgv_pcu,mgv_pcu,hgv_pcu,latitude,longitude,road_geom,cycles_00,cycles_01,cycles_02,cycles_03,cycles_04,cycles_05,cycles_06,cycles_07,cycles_08,cycles_09,cycles_10,cycles_11,cycles_12,cycles_13,cycles_14,cycles_15,p2w_00,p2w_01,p2w_02,p2w_03,p2w_04,p2w_05,p2w_06,p2w_07,p2w_08,p2w_09,p2w_10,p2w_11,p2w_12,p2w_13,p2w_14,p2w_15,p2w_16,cars_00,cars_01,cars_02,cars_03,cars_04,cars_05,cars_06,cars_07,cars_08,cars_09,cars_10,cars_11,cars_12,cars_13,cars_14,cars_15,cars_16,buses_00,buses_01,buses_02,buses_03,buses_04,buses_05,buses_06,buses_07,buses_08,buses_09,buses_10,buses_11,buses_12,buses_13,buses_14,buses_15,buses_16,lgvs_00,lgvs_01,lgvs_02,lgvs_03,lgvs_04,lgvs_05,lgvs_06,lgvs_07,lgvs_08,lgvs_09,lgvs_10,lgvs_11,lgvs_12,lgvs_13,lgvs_14,lgvs_15,lgvs_16,mgvs_00,mgvs_01,mgvs_02,mgvs_03,mgvs_04,mgvs_05,mgvs_06,mgvs_07,mgvs_08,mgvs_09,mgvs_10,mgvs_11,mgvs_12,mgvs_13,mgvs_14,mgvs_15,mgvs_16,hgvs_00,hgvs_01,hgvs_02,hgvs_03,hgvs_04,hgvs_05,hgvs_06,hgvs_07,hgvs_08,hgvs_09,hgvs_10,hgvs_11,hgvs_12,hgvs_13,hgvs_14,hgvs_15,hgvs_16,all_motors_00,all_motors_01,all_motors_02,all_motors_03,all_motors_04,all_motors_05,all_motors_06,all_motors_07,all_motors_08,all_motors_09,all_motors_10,all_motors_11,all_motors_12,all_motors_13,all_motors_14,all_motors_15,all_motors_16,all_motors_pcu_00,all_motors_pcu_01,all_motors_pcu_02,all_motors_pcu_03,all_motors_pcu_04,all_motors_pcu_05,all_motors_pcu_06,all_motors_pcu_07,all_motors_pcu_08,all_motors_pcu_09,all_motors_pcu_10,all_motors_pcu_11,all_motors_pcu_12,all_motors_pcu_13,all_motors_pcu_14,all_motors_pcu_15,all_motors_pcu_16
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.577320306,-3.032184269,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.577320306,-3.032184269,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.577320306,-3.032184269,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.577320306,-3.032184269,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.579979594,-3.034481487,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.579979594,-3.034481487,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.579979594,-3.034481487,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
501,Newport West Co Const,Casnewydd - Newport,,M4,M or Class A Trunk Motorway,2016,0,154.8,91662,804,15563,3289.5,16971.699999999997,51.579979594,-3.034481487,{"type": "LineString", "coordinates": [[-3.035257571435012, 51.56650151771787], [-3.035095169179921, 51.58475606057912]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,348,393,391,395,507,523,553,732,465,526,511,449,406,318,387,75586,72449,79559,77650,89870,89870,87665,88279,86248,89623,83638,87568,84757,84596,89665,95242,91662,574,480,449,462,454,472,459,520,674,477,619,449,508,589,556,431,402,9347,9907,11387,11728,12942,13396,11597,12281,12576,12766,12982,13003,12475,11891,13929,16294,15563,3766,3332,3172,3067,2671,2667,3056,2974,2869,2558,2209,2383,2249,2147,2038,2384,2193,7547,7677,8124,7702,8298,8004,7926,7844,7525,6526,7313,7010,6534,6307,6538,7282,7379,97147,94265,103039,101002,114626,114804,111210,112421,110445,112682,107226,110939,107034,105979,113132,121951,117586,109218.9,106139.1,115426.4,112774.29999999999,126968.29999999999,126777.7,123196.6,124311.4,122004.2,122482.6,118177.4,121376.9,116854.09999999999,115571.20000000001,122962.79999999999,132849.8,128445
502,Bridgend Co Const,Pen-y-bont ar Ogwr - Bridgend,,M4,M or Class A Trunk Motorway,2016,0,54,54374,330,10346,1804.5,9453,51.525189997,-3.720044465,{"type": "LineString", "coordinates": [[-3.72458067494531, 51.530786855806284], [-3.693344720484342, 51.51658456029958]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,141,166,183,143,184,219,125,160,150,113,145,114,217,212,135,37512,41144,40428,43579,46113,47789,45846,47694,46094,50316,49410,49446,45216,49417,52764,52905,54374,252,359,218,332,280,271,398,214,274,305,345,200,108,143,182,169,165,6606,6087,6123,6866,7630,7636,8046,8762,7833,7609,7685,8049,8151,8343,8855,9853,10346,1642,1884,1703,1904,2037,1989,2070,1856,1316,1577,1626,1381,1293,1175,1206,1243,1203,4378,3781,3596,1475,4402,4363,4328,4498,3900,3423,3292,3985,3590,3598,4071,4232,4110,50589,53413,52209,54322,60645,62191,60872,63243,59542,63390,62508,63174,58503,62790,67295,68614,70333,57234,59534.5,57868.7,57423.9,67556.29999999999,69042.59999999999,67821,70101,65469,68837.4,67855.6,69177.2,63837.5,68129.5,73242.1,74778.9,76361.5
503,Gower Co Const,Abertawe - Swansea,,M4,M or Class A Trunk Motorway,2016,0,84.80000000000001,50821,296,11404,2001,6527.4,51.675378776,-3.981299876,{"type": "LineString", "coordinates": [[-3.996394140408362, 51.67656018761769], [-3.956253088438563, 51.67480792150705]]},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,187,211,187,189,235,242,479,217,305,162,231,316,224,218,212,31146,32081,42850,41822,42993,42993,50546,50900,47885,49874,49026,49494,51115,49261,50574,50709,50821,183,187,177,182,109,113,151,171,190,153,241,177,148,210,156,144,148,5055,5343,7170,7385,8138,8423,8875,9398,9413,9522,8718,9428,9518,9441,9581,10662,11404,1669,1704,1652,1597,1722,1721,1966,1912,1658,1575,1388,1369,1356,1229,1233,1271,1334,2531,2537,2684,2535,2618,2555,3020,2999,3035,2713,2640,2487,2456,2580,2760,2877,2838,40724,41994,54720,53732,55767,55994,64793,65622,62660,64054,62318,63117,64824,63037,64528,65881,66757,44947.8,46245.9,59100,57881.4,60028.200000000004,60175.6,69712,70502.5,67337.09999999999,68391.2,66502,67114.40000000001,68704.2,67025.9,68754.09999999999,70269.8,71134.2
